[DEBUG] [2022-07-16 09:00:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : c93fe6e97c0f48a28b12883d3457c3f1, msgType : 19
[DEBUG] [2022-07-16 09:00:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 89919e51a90e49489a5f1786f68055cb, msgType : 19
[DEBUG] [2022-07-16 09:00:03] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 947b119f262a49d4b1ee68ece9a40b37, msgType : 19
[DEBUG] [2022-07-16 09:00:03] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : a83a8f2438564ca1b9562641d010c023, msgType : 19
[DEBUG] [2022-07-16 09:00:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 48f6bec364d04b44b16436456225826f, msgType : 19
[DEBUG] [2022-07-16 09:00:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 50bde2525d99440d9348fb6a8ecc9f3b, msgType : 19
[DEBUG] [2022-07-16 09:00:07] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 0c85a1c2eba047dcbe7bc3b4ff0504f0, msgType : 19
[DEBUG] [2022-07-16 09:00:07] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : d30a09952c744e2a95906d591c4fa641, msgType : 19
[INFO] [2022-07-16 09:00:08] EventSubscribeImp.resendWaitingFilters(173) | Resend waiting filters, size: 0
[DEBUG] [2022-07-16 09:00:09] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 64f0b45d0f8b41bdbc1e8945f7b200a6, msgType : 19
[DEBUG] [2022-07-16 09:00:09] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 5bc3e48fceb24e4c9c71a5a34e021909, msgType : 19
[DEBUG] [2022-07-16 09:00:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : cd05956f4bb64f7c99a6a6fc801d4c46, msgType : 19
[DEBUG] [2022-07-16 09:00:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 99d5860301444dfbb8c80751c56ad3fa, msgType : 19
