[DEBUG] [2022-07-19 19:34:10] AbstractApplicationContext.prepareRefresh(629) | Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@39aeed2f
[DEBUG] [2022-07-19 19:34:11] XmlBeanDefinitionReader.doLoadBeanDefinitions(393) | Loaded 3 bean definitions from class path resource [applicationContext.xml]
[DEBUG] [2022-07-19 19:34:11] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'defaultConfigProperty'
[DEBUG] [2022-07-19 19:34:11] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'defaultConfigOption'
[INFO] [2022-07-19 19:34:11] ConfigProperty.getConfigInputStream(123) | Load config from conf/ca.crt failed, trying to load from the resourcePath /home/chenxun/fisco/voteApp/dist/conf/
[INFO] [2022-07-19 19:34:11] ConfigProperty.getConfigInputStream(123) | Load config from conf/sdk.crt failed, trying to load from the resourcePath /home/chenxun/fisco/voteApp/dist/conf/
[INFO] [2022-07-19 19:34:11] ConfigProperty.getConfigInputStream(123) | Load config from conf/sdk.key failed, trying to load from the resourcePath /home/chenxun/fisco/voteApp/dist/conf/
[DEBUG] [2022-07-19 19:34:11] CryptoMaterialConfig.<init>(137) | Load cryptoMaterial, caCertPath: /home/chenxun/fisco/voteApp/dist/conf/conf/ca.crt, sdkCertPath: /home/chenxun/fisco/voteApp/dist/conf/conf/sdk.crt, sdkPrivateKeyPath:/home/chenxun/fisco/voteApp/dist/conf/conf/sdk.key, enSSLCertPath: null, enSSLPrivateKeyPath:null
[DEBUG] [2022-07-19 19:34:11] InternalLoggerFactory.useSlf4JLoggerFactory(63) | Using SLF4J as the default logging framework
[DEBUG] [2022-07-19 19:34:11] NetUtil.<clinit>(136) | -Djava.net.preferIPv4Stack: false
[DEBUG] [2022-07-19 19:34:11] NetUtil.<clinit>(137) | -Djava.net.preferIPv6Addresses: false
[DEBUG] [2022-07-19 19:34:11] NetUtilInitializations.determineLoopback(129) | Loopback interface: lo (lo, 0:0:0:0:0:0:0:1%lo)
[DEBUG] [2022-07-19 19:34:11] PlatformDependent0.explicitNoUnsafeCause0(495) | -Dio.netty.noUnsafe: false
[DEBUG] [2022-07-19 19:34:11] PlatformDependent0.javaVersion0(998) | Java version: 11
[DEBUG] [2022-07-19 19:34:11] PlatformDependent0.<clinit>(136) | sun.misc.Unsafe.theUnsafe: available
[DEBUG] [2022-07-19 19:34:11] PlatformDependent0.<clinit>(160) | sun.misc.Unsafe.copyMemory: available
[DEBUG] [2022-07-19 19:34:11] PlatformDependent0.<clinit>(192) | sun.misc.Unsafe.storeFence: available
[DEBUG] [2022-07-19 19:34:11] PlatformDependent0.<clinit>(235) | java.nio.Buffer.address: available
[DEBUG] [2022-07-19 19:34:11] PlatformDependent0.<clinit>(319) | direct buffer constructor: unavailable: Reflective setAccessible(true) disabled
[DEBUG] [2022-07-19 19:34:11] PlatformDependent0.<clinit>(384) | java.nio.Bits.unaligned: available, true
[DEBUG] [2022-07-19 19:34:11] PlatformDependent0.<clinit>(451) | jdk.internal.misc.Unsafe.allocateUninitializedArray(int): unavailable: class io.netty.util.internal.PlatformDependent0$7 cannot access class jdk.internal.misc.Unsafe (in module java.base) because module java.base does not export jdk.internal.misc to unnamed module @1f97cf0d
[DEBUG] [2022-07-19 19:34:11] PlatformDependent0.<clinit>(481) | java.nio.DirectByteBuffer.<init>(long, int): unavailable
[DEBUG] [2022-07-19 19:34:11] PlatformDependent.unsafeUnavailabilityCause0(1120) | sun.misc.Unsafe: available
[DEBUG] [2022-07-19 19:34:11] PlatformDependent.estimateMaxDirectMemory(1231) | maxDirectMemory: 2523922432 bytes (maybe)
[DEBUG] [2022-07-19 19:34:11] PlatformDependent.tmpdir0(1250) | -Dio.netty.tmpdir: /tmp (java.io.tmpdir)
[DEBUG] [2022-07-19 19:34:11] PlatformDependent.bitMode0(1329) | -Dio.netty.bitMode: 64 (sun.arch.data.model)
